"","x"
"1",68.0083681614463
"2",107.671285701569
"3",114.702255248969
"4",98.1771161575657
"5",119.239317407916
"6",80.8231446388622
"7",154.134508618517
"8",60.2387758256489
"9",111.860206392572
"10",109.397123583222
"11",106.922832026602
"12",110.393471950027
"13",99.1566783312827
"14",57.0828695907329
"15",78.9946315728986
"16",101.035898523042
"17",93.5510735817448
"18",124.287432353799
"19",123.728573679124
"20",87.5353210757574
"21",115.201946076674
"22",132.78543485441
"23",71.2102480816194
"24",91.7537998088845
"25",187.283785316095
"26",73.9149996353704
"27",76.5460700958888
"28",108.761248953902
"29",97.4128220927868
"30",77.3054422790033
"31",115.343111909034
"32",111.221088979387
"33",147.573326866517
"34",39.5745444263139
"35",105.644141914713
"36",65.6837433058488
"37",159.274815731332
"38",47.028514891659
"39",170.030698151489
"40",100.148610353001
"41",133.585797313481
"42",81.5137072662454
"43",117.147550254518
"44",73.4177308603522
"45",76.9971367054468
"46",168.654866495519
"47",48.1080557655667
"48",123.438743988852
"49",114.423180970676
"50",157.085355958126
"51",112.23069363924
"52",128.096772548843
"53",116.621427839287
"54",56.3028490112511
"55",112.272641189558
"56",76.7699945523695
"57",128.20040232667
"58",78.2619928335776
"59",107.328662561905
"60",129.372781043203
"61",141.327872892299
"62",118.882701922009
"63",59.8120815164346
"64",95.4027272472379
"65",159.752847495875
"66",104.241306375663
"67",123.642061301177
"68",134.008204436951
"69",114.460394249865
"70",130.069964773865
"71",149.448645519504
"72",134.193089085995
"73",116.797849927497
"74",94.5120938159277
"75",143.870708002124
"76",109.449823024006
"77",124.448213932584
"78",101.820921934638
"79",54.0649449065552
"80",121.389531550311
"81",188.035631933162
"82",117.186101979832
"83",115.410628576016
"84",91.8892089745673
"85",122.648258728874
"86",61.0045669637338
"87",94.6283039088873
"88",48.1042659980351
"89",81.3919658781225
"90",145.023874938809
"91",102.145601077554
"92",124.757117044623
"93",82.4054338507993
"94",71.2464646055285
"95",120.913912840092
"96",148.79770379295
"97",67.6254632319713
"98",125.374292300823
"99",127.732757701013
"100",54.024423338485
"101",77.4359888633179
"102",107.141313739832
"103",120.044628020378
"104",105.844680220565
"105",131.024077948335
"106",90.5635866506514
"107",101.635445305005
"108",132.599981549099
"109",94.7454359946865
"110",70.1746311701165
"111",162.581819959942
"112",85.9454926238315
"113",83.3981285797268
"114",67.18151599776
"115",148.178642344096
"116",103.18032310903
"117",67.2406555759791
"118",143.394905298793
"119",117.233750787565
"120",119.872886921535
"121",95.3439475532307
"122",82.8963378560549
"123",151.064783168326
"124",161.693204224291
"125",115.51487885637
"126",105.797753458146
"127",150.317861361916
"128",76.1967737329666
