"","x"
"1",95.9095089138379
"2",90.3951173866828
"3",99.1159587053189
"4",99.8973051471155
"5",114.625583720922
"6",123.834372515945
"7",37.3298671018193
"8",44.1546802277718
"9",99.3366012837903
"10",156.85690549892
"11",47.5415306613613
"12",77.0287561403738
"13",134.899364226049
"14",60.1341981353965
"15",183.694310791918
"16",120.771780110175
"17",151.721021459546
"18",57.6905590194569
"19",82.9520799265861
"20",121.630449851861
"21",107.631510923192
"22",94.2324349916502
"23",147.322724510468
"24",100.708538890305
"25",159.947105243404
"26",117.849040707352
"27",89.4263950300044
"28",133.727280654964
"29",118.70772674372
"30",89.379935533757
"31",109.937835820979
"32",113.425676851534
"33",121.53483857558
"34",154.956112676249
"35",87.3926682630435
"36",153.715256582639
"37",96.533049586247
"38",93.9599152126557
"39",111.324675670898
"40",112.041399385984
"41",55.6611970451422
"42",83.3053531798639
"43",88.7392936744357
"44",69.4047304689538
"45",35.2616526872249
"46",130.973680564879
"47",85.986819608732
"48",130.197609770558
"49",138.367177489956
"50",115.978303705097
"51",76.5269005419769
"52",124.52015852411
"53",98.1629780184941
"54",106.964139315871
"55",96.394392369052
"56",107.866690719485
"57",70.162181471831
"58",123.45781868319
"59",111.436137279429
"60",111.153826503624
"61",92.1966089904396
"62",79.2045188246875
"63",92.8089082042289
"64",62.4311423445092
"65",85.8025302260084
"66",146.371755836732
"67",50.4579828612253
"68",101.418656117788
"69",101.67360819075
"70",110.458278638952
"71",115.805489709318
"72",103.82100285092
"73",90.6112325768558
"74",79.4038900585008
"75",100.335845709455
"76",123.177082481188
"77",99.8422612709177
"78",131.176526644205
"79",102.471935644811
"80",139.97009805709
"81",82.6239764496336
"82",89.590656631209
"83",71.1165649266553
"84",87.6578521478556
"85",56.0553907959192
"86",61.6192850635761
"87",126.062965498694
"88",149.518790403981
"89",127.661217949333
"90",78.8952875589689
"91",43.5077162600259
"92",148.959476952884
"93",99.5080010427957
"94",109.710398344927
"95",138.131977243132
"96",113.472497729027
"97",96.0600719238969
"98",119.981433142813
"99",128.064606025826
"100",82.4592064587268
"101",84.5103704708074
"102",142.930845145384
"103",53.703827780064
"104",52.5767959613386
"105",100.469421336054
"106",85.2585311272493
"107",127.092031623034
"108",103.349507048435
"109",118.312661897893
"110",136.685080705479
"111",125.773313613036
"112",180.615213110131
"113",102.843294645569
"114",77.7423390146592
"115",139.845589874793
"116",78.5295001966223
"117",187.670520942508
"118",131.693396595533
"119",98.9505879607164
"120",82.058400421791
"121",84.2711836170363
"122",75.7163370400181
"123",77.5314217392227
"124",43.6099981437977
"125",143.895175717237
"126",57.4321446122217
"127",160.088361777753
"128",52.0176134063205
"129",87.6427876768681
"130",142.454538975909
"131",76.81457021717
"132",90.7959735901366
"133",96.6756212635116
"134",124.413808902058
"135",127.988922353182
"136",97.6456317784535
"137",114.397371705814
"138",102.253999817492
"139",84.5214514322935
"140",52.8755520628312
"141",44.260637631251
"142",78.2764787931063
"143",111.413418758639
"144",77.5682593732386
"145",89.8776122476611
"146",75.7868489966634
"147",127.350197657644
"148",56.7986836879404
"149",135.187909688973
"150",117.617381365803
"151",134.848164926063
"152",124.290124518541
"153",103.109975651895
"154",150.445269778775
"155",110.063019765415
"156",108.413745421163
"157",156.158219496167
"158",104.062337452755
"159",116.84273926455
"160",153.693652238434
"161",71.006661853339
"162",64.6403396094641
"163",80.161331738169
"164",67.1389562944397
"165",131.241549182317
"166",128.939993769149
"167",119.350165210619
"168",116.0230665166
"169",101.16489155857
"170",69.702401401358
"171",104.642592888399
"172",69.4706349839463
"173",70.0871249921511
"174",80.619925919061
"175",94.3773860669215
"176",59.3938855305955
"177",162.000025012336
"178",150.762844312825
"179",49.6882259280051
"180",68.0444879056389
"181",75.1799775986365
"182",160.313440907986
"183",124.694640909079
"184",107.555649100703
"185",85.8919914194596
"186",121.200909608185
"187",26.1703115799066
"188",132.60024436431
"189",86.306841775781
"190",62.1113512816898
"191",132.90983262158
"192",123.580148490316
"193",129.038453603904
"194",109.985818454283
"195",111.456060754688
"196",85.9598986620257
"197",102.823600431723
"198",90.5430868572353
"199",93.4860720622715
"200",97.1759586639472
"201",66.0148459503472
"202",109.257806048132
"203",97.1887010028339
"204",91.5081161129274
"205",128.490246604423
"206",121.235438927472
"207",115.208379659114
"208",99.0194261335689
"209",150.531025210066
"210",101.654687656433
"211",115.525205730502
"212",99.1441896809658
